prep_canonical_smiles,chembl_cmpd_id,assay_id,rdkitNonIsoCanonSmi,canonical_smiles,doc_id,pubmed_id,journal,year,volume,first_page,standard_value,standard_units,standard_type,activity_comment,tid,pref_name,Protein class,Cliff value,Chiral cliff,unambiguous cliff,Protein class (prep)
C(COc1ccccc1)NC[C@@H]2COC(O2)(c3ccccc3)c4ccccc4,"('CHEMBL3739897', 'CHEMBL3739932')","(1541085, 1541088, 1541089)",O=C(O)C(=O)O.c1ccc(OCCNCC2COC(c3ccccc3)(c3ccccc3)O2)cc1,"('OC(=O)C(=O)O.C(COc1ccccc1)NC[C@@H]2COC(O2)(c3ccccc3)c4ccccc4', 'OC(=O)C(=O)O.C(COc1ccccc1)NC[C@H]2COC(O2)(c3ccccc3)c4ccccc4')",97381,"((nan, nan), (nan, nan), (nan, nan))",MedChemComm,2015.0,6,677,"((Decimal('3.02'), Decimal('3.802')), (Decimal('79.43'), Decimal('114.82')), (Decimal('22.91'), Decimal('14.45')))",nM,Ki,,"(51, 128, 103)","('Serotonin 1a (5-HT1a) receptor', 'Alpha-1b adrenergic receptor', 'Alpha-1d adrenergic receptor')",membrane receptor 7tm,"(0.10000516957227368, 0.16003297998220944, 0.20015724209683086)",no cliff,1,membrane receptor 7tm
C(COc1ccccc1)NC[C@@H]2COCC(O2)(c3ccccc3)c4ccccc4,"('CHEMBL493285', 'CHEMBL2312538')",936571,c1ccc(OCCNCC2COCC(c3ccccc3)(c3ccccc3)O2)cc1,"('C(COc1ccccc1)NC[C@@H]2COCC(O2)(c3ccccc3)c4ccccc4', 'C(COc1ccccc1)NC[C@H]2COCC(O2)(c3ccccc3)c4ccccc4')",71852,23252794.0,J. Med. Chem.,2013.0,56,584,"(Decimal('3.236'), Decimal('83.18'))",nM,Ki,,103,Alpha-1d adrenergic receptor,membrane receptor 7tm,1.41001040309,cliff,1,membrane receptor 7tm
C(C[C@@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4ccccc4,"('CHEMBL2443270', 'CHEMBL2443269')","(989754, 989756)",c1ccc(CNCCC2(c3ccccn3)CCOC3(CCCC3)C2)cc1,"('C(C[C@@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4ccccc4', 'C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4ccccc4')",75319,24063433.0,J. Med. Chem.,2013.0,56,8019,"((Decimal('15848.93'), Decimal('158.49')), (Decimal('630.96'), Decimal('12.59')))",nM,EC50,,129,Mu opioid receptor,membrane receptor 7tm,"(1.9999980818549519, 1.6999760977101062)",cliff,1,membrane receptor 7tm
C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CCC[C@@H]4COCc5ccccc5,"('CHEMBL159381', 'CHEMBL348304')","(1616, 1701)",c1ccc(COCC2CCCN2CCc2c[nH]c3ccc(-n4cnnc4)cc23)cc1,"('C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CCC[C@@H]4COCc5ccccc5', 'C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CCC[C@H]4COCc5ccccc5')",15331,10052975.0,J. Med. Chem.,1999.0,42,677,"((Decimal('575'), Decimal('2.7')), (Decimal('95'), Decimal('0.81')))",nM,IC50,,"(106, 105)","('Serotonin 1b (5-HT1b) receptor', 'Serotonin 1d (5-HT1d) receptor')",membrane receptor 7tm,"(2.3283040805306432, 2.0692385864101981)",cliff,1,membrane receptor 7tm
C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CC[C@@H](C4)OCc5ccccc5,"('CHEMBL435060', 'CHEMBL420874')",1616,c1ccc(COC2CCN(CCc3c[nH]c4ccc(-n5cnnc5)cc34)C2)cc1,"('C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CC[C@@H](C4)OCc5ccccc5', 'C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CC[C@H](C4)OCc5ccccc5')",15331,10052975.0,J. Med. Chem.,1999.0,42,677,"(Decimal('275'), Decimal('145'))",nM,IC50,,106,Serotonin 1b (5-HT1b) receptor,membrane receptor 7tm,0.277964691595,no cliff,1,membrane receptor 7tm
C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CC[C@@H](CNCc5ccccc5)C4,"('CHEMBL420965', 'CHEMBL159819')","(1612, 1616)",c1ccc(CNCC2CCN(CCc3c[nH]c4ccc(-n5cnnc5)cc34)C2)cc1,"('C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CC[C@@H](CNCc5ccccc5)C4', 'C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CC[C@H](CNCc5ccccc5)C4')","(14158, 15331)","(9357514.0, 10052975.0)",J. Med. Chem.,"(1997.0, 1999.0)","('40', '42')","('3497', '677')","((Decimal('47'), Decimal('50')), Decimal('47'))",nM,IC50,,106,Serotonin 1b (5-HT1b) receptor,membrane receptor 7tm,"(0.026872146400301365, 0.0)",no cliff,1,membrane receptor 7tm
C(Cc1ccc(NC2=N[C@@H](CCS2)c3ccccc3)cc1)Nc4nc5ccccc5s4,"('CHEMBL1080298', 'CHEMBL1080655')",620603,c1ccc(C2CCSC(Nc3ccc(CCNc4nc5ccccc5s4)cc3)=N2)cc1,"('C(Cc1ccc(NC2=N[C@@H](CCS2)c3ccccc3)cc1)Nc4nc5ccccc5s4', 'C(Cc1ccc(NC2=N[C@H](CCS2)c3ccccc3)cc1)Nc4nc5ccccc5s4')",50250,19864135.0,Bioorg. Med. Chem. Lett.,2009.0,19,6801,"(Decimal('30'), Decimal('464'))",nM,Ki,,10475,Neuropeptide Y receptor type 1,membrane receptor 7tm,1.18939672584,cliff,1,membrane receptor 7tm
C(N1CCC[C@@H](C1)n2cnc3cnc4[nH]ccc4c23)c5ccccc5,"('CHEMBL2152302', 'CHEMBL2152301')","(851247, 851248)",c1ccc(CN2CCCC(n3cnc4cnc5[nH]ccc5c43)C2)cc1,"('C(N1CCC[C@@H](C1)n2cnc3cnc4[nH]ccc4c23)c5ccccc5', 'C(N1CCC[C@H](C1)n2cnc3cnc4[nH]ccc4c23)c5ccccc5')",65396,22591402.0,J. Med. Chem.,2012.0,55,5901,"((Decimal('47'), Decimal('56')), (Decimal('220'), Decimal('130')))",nM,Ki,,"(10938, 10849)","('Tyrosine-protein kinase JAK2', 'Tyrosine-protein kinase JAK3')",kinase,"(0.076090169070482938, 0.22847932851536945)",no cliff,1,kinase
C(N1CC[C@@H](C1)Nc2cccc3cnccc23)c4ccc(cc4)C5CC5,"('CHEMBL3689483', 'CHEMBL3689486')",1527950,c1cc(NC2CCN(Cc3ccc(C4CC4)cc3)C2)c2ccncc2c1,"('C(N1CC[C@@H](C1)Nc2cccc3cnccc23)c4ccc(cc4)C5CC5', 'C(N1CC[C@H](C1)Nc2cccc3cnccc23)c4ccc(cc4)C5CC5')",94226,"(nan, nan)",,2013.0,,,"(Decimal('4080'), Decimal('311'))",nM,IC50,,11149,Rho-associated protein kinase 2,kinase,1.11789977406,cliff,1,kinase
C(N1CC[C@@H](C1)Nc2cccc3cnccc23)c4cccc(c4)C5CC5,"('CHEMBL3689487', 'CHEMBL3689484')",1527950,c1cc(CN2CCC(Nc3cccc4cnccc34)C2)cc(C2CC2)c1,"('C(N1CC[C@@H](C1)Nc2cccc3cnccc23)c4cccc(c4)C5CC5', 'C(N1CC[C@H](C1)Nc2cccc3cnccc23)c4cccc(c4)C5CC5')",94226,"(nan, nan)",,2013.0,,,"(Decimal('15700'), Decimal('820'))",nM,IC50,,11149,Rho-associated protein kinase 2,kinase,1.28208580003,cliff,1,kinase
C(NCc1ccccn1)c2ccc(CN(Cc3nc4ccccc4[nH]3)[C@@H]5CCCc6cccnc56)cc2,"('CHEMBL1090509', 'CHEMBL1093137')",626233,c1ccc(CNCc2ccc(CN(Cc3nc4ccccc4[nH]3)C3CCCc4cccnc43)cc2)nc1,"('C(NCc1ccccn1)c2ccc(CN(Cc3nc4ccccc4[nH]3)[C@@H]5CCCc6cccnc56)cc2', 'C(NCc1ccccn1)c2ccc(CN(Cc3nc4ccccc4[nH]3)[C@H]5CCCc6cccnc56)cc2')",50736,20297846.0,J. Med. Chem.,2010.0,53,3376,"(Decimal('29200'), Decimal('120'))",nM,IC50,,10473,C-X-C chemokine receptor type 4,membrane receptor 7tm,2.3862016054,cliff,1,membrane receptor 7tm
C(Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)[C@@H]5CCCO5,"('CHEMBL247070', 'CHEMBL247068')",454457,c1ccc(-c2oc3ncnc(NCC4CCCO4)c3c2-c2ccccc2)cc1,"('C(Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)[C@@H]5CCCO5', 'C(Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)[C@H]5CCCO5')",37451,17280833.0,Bioorg. Med. Chem. Lett.,2007.0,17,2305,"(Decimal('24'), Decimal('523'))",nM,IC50,,30023,Tyrosine kinase non-receptor protein 2,kinase,1.33829044716,cliff,1,kinase
C(O[C@@H]1CCNC1)c2ccc3ccccc3c2,"('CHEMBL469809', 'CHEMBL445794')",564827,c1ccc2cc(COC3CCNC3)ccc2c1,"('C(O[C@@H]1CCNC1)c2ccc3ccccc3c2', 'C(O[C@H]1CCNC1)c2ccc3ccccc3c2')",46430,19282174.0,Bioorg. Med. Chem. Lett.,2009.0,19,2329,"(Decimal('20'), Decimal('23'))",nM,IC50,,121,Serotonin transporter,transporter,0.0606978403536,no cliff,1,transporter
C(O[C@@H]1CN2CCC1CC2)c3cc4ccccc4s3,"('CHEMBL125069', 'CHEMBL121877')",143096,c1ccc2sc(COC3CN4CCC3CC4)cc2c1,"('C(O[C@@H]1CN2CCC1CC2)c3cc4ccccc4s3', 'C(O[C@H]1CN2CCC1CC2)c3cc4ccccc4s3')",6515,15203161.0,Bioorg. Med. Chem. Lett.,2004.0,14,3781,"(Decimal('26'), Decimal('515'))",nM,IC50,,12167,Neuronal acetylcholine receptor protein alpha-7 subunit,ion channel lgic,1.29683388107,cliff,1,ion channel lgic
C(Oc1ccc(CN2CCOCC2)cc1)[C@@H]3CN(CCO3)C4CCCC4,"('CHEMBL497192', 'CHEMBL524088')","(497215, 497216)",c1cc(OCC2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1,"('C(Oc1ccc(CN2CCOCC2)cc1)[C@@H]3CN(CCO3)C4CCCC4', 'C(Oc1ccc(CN2CCOCC2)cc1)[C@H]3CN(CCO3)C4CCCC4')",45718,18922693.0,Bioorg. Med. Chem. Lett.,2008.0,18,5796,"((Decimal('1.9'), Decimal('31')), (Decimal('9.7'), Decimal('121')))",nM,Ki,,"(10280, 11300)",Histamine H3 receptor,membrane receptor 7tm,"(1.2126080928814438, 1.0960136360502053)",cliff,1,membrane receptor 7tm
C(Oc1ccc(Oc2ccc(cc2)c3ccccc3)cc1)[C@@H]4CCCCN4,"('CHEMBL1095881', 'CHEMBL1095880')","(631853, 631854)",c1ccc(-c2ccc(Oc3ccc(OCC4CCCCN4)cc3)cc2)cc1,"('C(Oc1ccc(Oc2ccc(cc2)c3ccccc3)cc1)[C@@H]4CCCCN4', 'C(Oc1ccc(Oc2ccc(cc2)c3ccccc3)cc1)[C@H]4CCCCN4')",51115,20371179.0,Bioorg. Med. Chem. Lett.,2010.0,20,2851,"((Decimal('114'), Decimal('96')), (Decimal('43'), Decimal('29')))",nM,IC50,,237,Leukotriene A4 hydrolase,protease,"(0.074633618296904181, 0.17107045768063048)",no cliff,1,protease
C(Oc1ccc(Oc2ccccc2)cc1)[C@@H]3CCCCN3,"('CHEMBL1099182', 'CHEMBL1099181')",631853,c1ccc(Oc2ccc(OCC3CCCCN3)cc2)cc1,"('C(Oc1ccc(Oc2ccccc2)cc1)[C@@H]3CCCCN3', 'C(Oc1ccc(Oc2ccccc2)cc1)[C@H]3CCCCN3')",51115,20371179.0,Bioorg. Med. Chem. Lett.,2010.0,20,2851,"(Decimal('44'), Decimal('48'))",nM,IC50,,237,Leukotriene A4 hydrolase,protease,0.0377885608894,no cliff,1,protease
C(Oc1ccccc1)[C@@H]2CCCN2,"('CHEMBL418900', 'CHEMBL73784')",143222,c1ccc(OCC2CCCN2)cc1,"('C(Oc1ccccc1)[C@@H]2CCCN2', 'C(Oc1ccccc1)[C@H]2CCCN2')",1809,"(nan, nan)",Bioorg. Med. Chem. Lett.,1996.0,6,2283,"(Decimal('195'), Decimal('107'))",nM,Ki,,11890,Neuronal acetylcholine receptor protein alpha-10 subunit,ion channel lgic,0.260650833677,no cliff,1,ion channel lgic
C(Oc1cccnc1)[C@@H]2CCN2,"('CHEMBL59986', 'CHEMBL262769')",223075,c1cncc(OCC2CCN2)c1,"('C(Oc1cccnc1)[C@@H]2CCN2', 'C(Oc1cccnc1)[C@H]2CCN2')",14797,9484491.0,J. Med. Chem.,1998.0,41,407,"(Decimal('700'), Decimal('1100'))",nM,EC50,,11184,Neuronal acetylcholine receptor subunit alpha-3,ion channel lgic,0.196294645144,no cliff,1,ion channel lgic
C(Oc1cccnc1)[C@@H]2CNCCN2c3oc4cccnc4n3,"('CHEMBL3262133', 'CHEMBL3262132')",1348013,Cl.c1cncc(OCC2CNCCN2c2nc3ncccc3o2)c1,"('Cl.C(Oc1cccnc1)[C@@H]2CNCCN2c3oc4cccnc4n3', 'Cl.C(Oc1cccnc1)[C@H]2CNCCN2c3oc4cccnc4n3')",83263,24814197.0,J. Med. Chem.,2014.0,57,3966,"(Decimal('1580'), Decimal('5.5'))",nM,IC50,,12167,Neuronal acetylcholine receptor protein alpha-7 subunit,ion channel lgic,2.45829439746,cliff,1,ion channel lgic
C(Oc1cnc(Nc2ccc(cc2)[C@@H]3CNCCO3)nc1)C4CC4,"('CHEMBL3702023', 'CHEMBL3702022')","(1528585, 1528586)",c1cc(C2CNCCO2)ccc1Nc1ncc(OCC2CC2)cn1,"('C(Oc1cnc(Nc2ccc(cc2)[C@@H]3CNCCO3)nc1)C4CC4', 'C(Oc1cnc(Nc2ccc(cc2)[C@H]3CNCCO3)nc1)C4CC4')",94478,"((nan, nan), (nan, nan))",,2014.0,,,"((Decimal('27.8'), Decimal('34.8')), (Decimal('4.5'), Decimal('3.6')))",nM,Ki,,"(105388, 100426)","('Trace amine-associated receptor 7b', 'Trace amine-associated receptor 1')",membrane receptor 7tm,"(0.097534448028504597, 0.09691001300805642)",no cliff,1,membrane receptor 7tm
C([C@@H]1CC(=NO1)c2ccc3ccccc3c2)c4ccccc4,"('CHEMBL2324080', 'CHEMBL2324081')",938513,c1ccc(CC2CC(c3ccc4ccccc4c3)=NO2)cc1,"('C([C@@H]1CC(=NO1)c2ccc3ccccc3c2)c4ccccc4', 'C([C@H]1CC(=NO1)c2ccc3ccccc3c2)c4ccccc4')",72102,23286196.0,J. Med. Chem.,2013.0,56,1064,"(Decimal('87.1'), Decimal('10000'))",nM,IC50,,101018,Luciferin 4-monooxygenase,other enzymes,2.05998184499,cliff,1,other enzymes
C([C@@H]1CC(=NO1)c2ccccc2)c3ccccc3,"('CHEMBL2324076', 'CHEMBL2324077')",938513,c1ccc(CC2CC(c3ccccc3)=NO2)cc1,"('C([C@@H]1CC(=NO1)c2ccccc2)c3ccccc3', 'C([C@H]1CC(=NO1)c2ccccc2)c3ccccc3')",72102,23286196.0,J. Med. Chem.,2013.0,56,1064,"(Decimal('1.585'), Decimal('173.78'))",nM,IC50,,101018,Luciferin 4-monooxygenase,other enzymes,2.03997052633,cliff,1,other enzymes
C([C@@H]1CCCN1)c2c[nH]c3ccccc23,"('CHEMBL534703', 'CHEMBL539589')",302678,Cl.c1ccc2c(CC3CCCN3)c[nH]c2c1,"('Cl.C([C@@H]1CCCN1)c2c[nH]c3ccccc23', 'Cl.C([C@H]1CCCN1)c2c[nH]c3ccccc23')",20574,15990303.0,Bioorg. Med. Chem. Lett.,2005.0,15,3510,"(Decimal('2400'), Decimal('60'))",nM,Ki,,10627,Serotonin 6 (5-HT6) receptor,membrane receptor 7tm,1.60205999133,cliff,1,membrane receptor 7tm
C([C@@H]1COC(=N1)c2ccsc2)c3ccccc3,"('CHEMBL304450', 'CHEMBL63871')","(64522, 64524)",c1ccc(CC2COC(c3ccsc3)=N2)cc1,"('C([C@@H]1COC(=N1)c2ccsc2)c3ccccc3', 'C([C@H]1COC(=N1)c2ccsc2)c3ccccc3')",4351,11514139.0,Bioorg. Med. Chem. Lett.,2001.0,11,2061,100000,nM,IC50,,110,Enoyl-[acyl-carrier-protein] reductase,other enzymes,0.0,no cliff,1,other enzymes
C(c1ccccc1)n2ccc(Nc3ccc(cc3)[C@@H]4CNCCO4)n2,"('CHEMBL3641714', 'CHEMBL3641713')","(1528585, 1528586)",c1ccc(Cn2ccc(Nc3ccc(C4CNCCO4)cc3)n2)cc1,"('C(c1ccccc1)n2ccc(Nc3ccc(cc3)[C@@H]4CNCCO4)n2', 'C(c1ccccc1)n2ccc(Nc3ccc(cc3)[C@H]4CNCCO4)n2')",94478,"((nan, nan), (nan, nan))",,2014.0,,,"((Decimal('127.3'), Decimal('222.9')), (Decimal('2'), Decimal('1.6')))",nM,Ki,,"(105388, 100426)","('Trace amine-associated receptor 7b', 'Trace amine-associated receptor 1')",membrane receptor 7tm,"(0.24328166482658231, 0.09691001300805642)",no cliff,1,membrane receptor 7tm
C1CC(C1)N2CCC3(CC2)CCc4cc(O[C@@H]5CCOC5)ccc4O3,"('CHEMBL1935417', 'CHEMBL1935418')",795961,c1cc2c(cc1OC1CCOC1)CCC1(CCN(C3CCC3)CC1)O2,"('C1CC(C1)N2CCC3(CC2)CCc4cc(O[C@@H]5CCOC5)ccc4O3', 'C1CC(C1)N2CCC3(CC2)CCc4cc(O[C@H]5CCOC5)ccc4O3')",60672,22153342.0,Bioorg. Med. Chem. Lett.,2012.0,22,186,"(Decimal('27'), Decimal('15'))",nM,Ki,,10280,Histamine H3 receptor,membrane receptor 7tm,0.255272505103,no cliff,1,membrane receptor 7tm
C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4cc5ccccc5cn4,"('CHEMBL3669243', 'CHEMBL3669239')",1527753,c1cnc(OC2CCN(c3cc4ccccc4cn3)C2)c(C2CCOCC2)c1,"('C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4cc5ccccc5cn4', 'C1CC(CCO1)c2cccnc2O[C@H]3CCN(C3)c4cc5ccccc5cn4')",94066,"(nan, nan)",,2013.0,,,"(Decimal('1829'), Decimal('2971'))",nM,IC50,,102443,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",other enzymes,0.210688946327,no cliff,1,other enzymes
C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4ccc5ccccc5n4,"('CHEMBL3669242', 'CHEMBL3669238')",1527753,c1cnc(OC2CCN(c3ccc4ccccc4n3)C2)c(C2CCOCC2)c1,"('C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4ccc5ccccc5n4', 'C1CC(CCO1)c2cccnc2O[C@H]3CCN(C3)c4ccc5ccccc5n4')",94066,"(nan, nan)",,2013.0,,,"(Decimal('384'), Decimal('340'))",nM,IC50,,102443,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",other enzymes,0.0528523073253,no cliff,1,other enzymes
C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4nc5ccccc5[nH]4,"('CHEMBL3669245', 'CHEMBL3669241')",1527753,c1cnc(OC2CCN(c3nc4ccccc4[nH]3)C2)c(C2CCOCC2)c1,"('C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4nc5ccccc5[nH]4', 'C1CC(CCO1)c2cccnc2O[C@H]3CCN(C3)c4nc5ccccc5[nH]4')",94066,"(nan, nan)",,2013.0,,,"(Decimal('3587'), Decimal('2472'))",nM,IC50,,102443,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",other enzymes,0.161682910259,no cliff,1,other enzymes
C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4nccc5ccccc45,"('CHEMBL3669244', 'CHEMBL3669240')",1527753,c1cnc(OC2CCN(c3nccc4ccccc34)C2)c(C2CCOCC2)c1,"('C1CC(CCO1)c2cccnc2O[C@@H]3CCN(C3)c4nccc5ccccc45', 'C1CC(CCO1)c2cccnc2O[C@H]3CCN(C3)c4nccc5ccccc45')",94066,"(nan, nan)",,2013.0,,,"(Decimal('981'), Decimal('730'))",nM,IC50,,102443,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",other enzymes,0.128346147259,no cliff,1,other enzymes
